Frequency - Fgen,Phase - Fgen,Phase - R
40949.6,0.0229703,0.280349
40949.7,0.029976,0.287491
40999.5,0.028579,0.285875
40999.5,0.0269578,0.284483
40999.5,0.0237543,0.281274
40999.5,0.0336827,0.291323
40999.5,0.0280961,0.285104
40999.5,0.0319534,0.289325
41049.5,0.029407,0.287282
41049.6,0.0269677,0.28481
41049.5,0.0236549,0.281481
41049.7,0.0308685,0.288966
41049.6,0.0339788,0.291936
41049.6,0.0301401,0.288051
41049.7,0.0285372,0.286863
41099.5,0.0248681,0.282919
41099.5,0.0323392,0.290646
41099.7,0.0288935,0.287413
41099.5,0.0214004,0.279582
41099.5,0.0255557,0.283747
41099.6,0.0213368,0.279426
41149.5,0.0250935,0.283441
41149.5,0.0285329,0.286985
41149.4,0.0255658,0.284014
41149.5,0.0258899,0.284272
41149.5,0.0304053,0.288808
41149.5,0.0227646,0.281559
41149.6,0.0262531,0.284909
41199.6,0.0241385,0.282806
41199.5,0.0210541,0.279694
41199.5,0.0219648,0.280463
41199.6,0.0272964,0.286104
41199.5,0.0243505,0.28291
41199.5,0.031457,0.290162
41199.5,0.028376,0.287039
41249.6,0.0267468,0.286132
41249.4,0.0346082,0.293691
41249.4,0.0339178,0.293193
41249.6,0.0270659,0.2865
41249.5,0.0241287,0.283054
41249.4,0.0279776,0.287236
41299.6,0.0310729,0.290351
41299.5,0.0263487,0.285595
41299.6,0.0321778,0.291543
41299.5,0.0257988,0.285221
41299.5,0.0330236,0.29213
41299.5,0.0285299,0.287692
41299.6,0.0222412,0.281484
41349.6,0.0325582,0.292475
41349.5,0.0326006,0.292239
41349.5,0.0235212,0.283117
41349.5,0.0331651,0.29285
41349.5,0.0260981,0.285765
41349.6,0.0223666,0.282114
41399.8,0.0326725,0.292985
41399.6,0.0287092,0.289022
41399.6,0.0281002,0.288578
41399.6,0.0306663,0.290875
41399.6,0.0278989,0.288076
41399.7,0.0240163,0.28423
41399.7,0.0236303,0.283706
41449.7,0.0332047,0.294156
41449.6,0.027124,0.287994
41449.6,0.0341044,0.29499
41449.6,0.0285265,0.289354
41449.5,0.0295604,0.290176
