Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
"0,0224","2,51742","0,0224","-0,000988272","0,0224","0,00287676","0,0224","2,51999"
"0,0225","2,51581","0,0225","-0,00131036","0,0225","0,00480928","0,0225","2,51967"
"0,0226","2,51774","0,0226","-0,000666186","0,0226","0,0041651","0,0226","2,51999"
"0,0227","2,51742","0,0227","-0,00163244","0,0227","0,00480928","0,0227","2,52031"
"0,0228","2,51806","0,0228","-0,0003441","0,0228","0,00513136","0,0228","2,51999"
"0,0229","2,51838","0,0229","-0,00131036","0,0229","0,00448719","0,0229","2,52064"
"0,023","2,51613","0,023","-0,0003441","0,023","0,00352093","0,023","2,52128"
"0,0231","2,51645","0,0231","-0,000666186","0,0231","0,0041651","0,0231","2,52128"
"0,0232","2,51613","0,0232","-0,0003441","0,0232","0,00545345","0,0232","2,52096"
"0,0233","2,51967","0,0233","-0,00163244","0,0233","0,00674179","0,0233","2,51999"
"0,0234","2,51709","0,0234","-0,000666186","0,0234","0,00577553","0,0234","2,5216"
"0,0235","2,51709","0,0235","-0,000988272","0,0235","0,0041651","0,0235","2,52064"
"0,0236","2,51677","0,0236","-0,0003441","0,0236","0,0041651","0,0236","2,51967"
"0,0237","2,51742","0,0237","-0,000988272","0,0237","0,0041651","0,0237","2,52128"
"0,0238","2,51742","0,0238","-0,000666186","0,0238","0,00384302","0,0238","2,52031"
"0,0239","2,51806","0,0239","-0,00195453","0,0239","0,00448719","0,0239","2,51967"
"0,024","2,51709","0,024","-0,0003441","0,024","0,00641971","0,024","2,52031"
"0,0241","2,51806","0,0241","-0,000988272","0,0241","0,00384302","0,0241","2,52064"
"0,0242","2,51774","0,0242","-0,00131036","0,0242","0,00609762","0,0242","2,52031"
"0,0243","2,51613","0,0243","-0,000988272","0,0243","0,00287676","0,0243","2,52031"
"0,0244","2,51742","0,0244","-0,000666186","0,0244","0,0041651","0,0244","2,51999"
"0,0245","2,5187","0,0245","-0,000666186","0,0245","0,00448719","0,0245","2,51999"
"0,0246","2,51742","0,0246","-0,000988272","0,0246","0,00513136","0,0246","2,51999"
"0,0247","2,51806","0,0247","-0,000666186","0,0247","0,00674179","0,0247","2,52031"
"0,0248","2,51677","0,0248","-0,000988272","0,0248","0,0041651","0,0248","2,51967"
"0,0249","2,51677","0,0249","-0,000666186","0,0249","0,00384302","0,0249","2,51967"
"0,025","2,51516","0,025","-0,000666186","0,025","0,00609762","0,025","2,5216"
"0,0251","2,51581","0,0251","-0,00131036","0,0251","0,00352093","0,0251","2,52031"
"0,0252","2,5187","0,0252","-0,000666186","0,0252","0,00480928","0,0252","2,52096"
"0,0253","2,5187","0,0253","-0,00163244","0,0253","0,00513136","0,0253","2,52064"
"0,0254","2,51742","0,0254","-0,0003441","0,0254","0,00223259","0,0254","2,52128"
"0,0255","2,51774","0,0255","-0,00131036","0,0255","0,00448719","0,0255","2,52031"
"0,0256","2,51613","0,0256","-0,0003441","0,0256","0,0041651","0,0256","2,51999"
"0,0257","2,5187","0,0257","-0,00131036","0,0257","0,00480928","0,0257","2,52031"
"0,0258","2,51935","0,0258","-0,000666186","0,0258","0,00448719","0,0258","2,52128"
"0,0259","2,51677","0,0259","-0,000988272","0,0259","0,00448719","0,0259","2,51999"
"0,026","2,51709","0,026","-0,000988272","0,026","0,00352093","0,026","2,52031"
"0,0261","2,51709","0,0261","-0,00163244","0,0261","0,00609762","0,0261","2,52031"
"0,0262","2,51548","0,0262","-0,000666186","0,0262","0,00384302","0,0262","2,52031"
"0,0263","2,51709","0,0263","-0,00131036","0,0263","0,00448719","0,0263","2,52128"
"0,0264","2,52064","0,0264","-0,000666186","0,0264","0,00480928","0,0264","2,52031"
"0,0265","2,51742","0,0265","-0,00131036","0,0265","0,00384302","0,0265","2,52064"
"0,0266","2,51581","0,0266","-0,00131036","0,0266","0,00448719","0,0266","2,52031"
"0,0267","2,51709","0,0267","-0,00163244","0,0267","0,00287676","0,0267","2,52031"
"0,0268","2,51548","0,0268","-0,000666186","0,0268","0,00352093","0,0268","2,51999"
"0,0269","2,51806","0,0269","-0,00163244","0,0269","0,00448719","0,0269","2,5216"
"0,027","2,51903","0,027","-0,0003441","0,027","0,00352093","0,027","2,52064"
"0,0271","2,51806","0,0271","-0,00163244","0,0271","0,00480928","0,0271","2,52064"
"0,0272","2,52031","0,0272","-0,000988272","0,0272","0,0041651","0,0272","2,52096"
"0,0273","2,51806","0,0273","-0,000666186","0,0273","0,00609762","0,0273","2,52064"
"0,0274","2,51742","0,0274","-0,0003441","0,0274","0,0041651","0,0274","2,51967"
"0,0275","2,51742","0,0275","-0,0003441","0,0275","0,00384302","0,0275","2,52096"
"0,0276","2,51709","0,0276","-0,000666186","0,0276","0,00480928","0,0276","2,52064"
"0,0277","2,51806","0,0277","-0,000988272","0,0277","0,0041651","0,0277","2,52064"
"0,0278","2,51838","0,0278","-0,0003441","0,0278","0,00480928","0,0278","2,52064"
"0,0279","2,5187","0,0279","-0,00131036","0,0279","0,00545345","0,0279","2,52128"
"0,028","2,51677","0,028","-0,000666186","0,028","0,00609762","0,028","2,52128"
"0,0281","2,51548","0,0281","-0,00131036","0,0281","0,00609762","0,0281","2,52096"
"0,0282","2,51677","0,0282","-0,000988272","0,0282","0,0041651","0,0282","2,52064"
"0,0283","2,51903","0,0283","-0,00131036","0,0283","0,0041651","0,0283","2,52096"
"0,0284","2,51742","0,0284","-0,0003441","0,0284","0,00448719","0,0284","2,52096"
"0,0285","2,51838","0,0285","-0,000988272","0,0285","0,00513136","0,0285","2,5216"
"0,0286","2,51967","0,0286","-0,000666186","0,0286","0,00545345","0,0286","2,52031"
"0,0287","2,52031","0,0287","-0,00131036","0,0287","0,00480928","0,0287","2,52064"
"0,0288","2,51806","0,0288","-0,000666186","0,0288","0,00223259","0,0288","2,52064"
"0,0289","2,51613","0,0289","-0,00195453","0,0289","0,00448719","0,0289","2,52031"
