Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.6,2.43818,1.13996,6.21701,5.94923
18999.7,2.43828,1.13996,6.21711,5.94934
18999.7,2.43853,1.13996,6.21708,5.94933
18999.6,2.43832,1.13994,6.21721,5.94934
18999.7,2.43826,1.13996,6.21735,5.94968
18999.6,2.43838,1.13989,6.21709,5.94927
18999.7,2.4383,1.13993,6.21724,5.94956
18999.6,2.43863,1.14001,6.21743,5.94967
18999.7,2.43822,1.13988,6.21694,5.94928
18999.7,2.43813,1.13995,6.21701,5.94959
18999.7,2.43816,1.1399,6.217,5.94945
18999.7,2.43811,1.13991,6.21673,5.94947
18999.7,2.4382,1.13998,6.21698,5.94975
18999.7,2.43834,1.13998,6.21721,5.94978
18999.7,2.43845,1.13994,6.21719,5.94986
18999.7,2.43823,1.13996,6.21707,5.9498
18999.7,2.43824,1.13999,6.21701,5.94976
18999.7,2.43804,1.13989,6.21667,5.94941
18999.7,2.43812,1.13987,6.21694,5.94969
18999.7,2.43826,1.13996,6.21701,5.9499
18999.7,2.43811,1.1399,6.21699,5.94973
18999.7,2.43855,1.13994,6.21687,5.94985
18999.6,2.43849,1.13993,6.21712,5.9498
18999.7,2.43848,1.13999,6.21761,5.95021
18999.7,2.43843,1.13991,6.21716,5.94974
18999.7,2.43825,1.13991,6.21682,5.94964
18999.7,2.43828,1.13989,6.21669,5.94961
18999.7,2.43822,1.13992,6.21664,5.94959
18999.7,2.43838,1.13994,6.217,5.94968
18999.7,2.43817,1.13993,6.217,5.94966
18999.7,2.43853,1.13997,6.21692,5.94975
18999.7,2.43811,1.13999,6.21733,5.94982
18999.7,2.4385,1.14006,6.21712,5.94994
18999.7,2.43841,1.13998,6.21707,5.94968
18999.7,2.43828,1.13992,6.21677,5.94958
18999.6,2.43824,1.13991,6.2168,5.94937
18999.6,2.43842,1.13998,6.21701,5.94966
18999.7,2.43831,1.14003,6.21711,5.94979
18999.7,2.43848,1.13993,6.21702,5.94956
18999.7,2.43843,1.13996,6.21715,5.94948
18999.7,2.4382,1.13985,6.21609,5.94898
18999.6,2.43832,1.13995,6.2169,5.94964
18999.7,2.4384,1.13992,6.21664,5.94937
18999.7,2.43849,1.14003,6.21744,5.94981
18999.7,2.43836,1.1399,6.21709,5.94942
18999.8,2.43821,1.13995,6.21725,5.94954
18999.7,2.43821,1.13981,6.21644,5.94901
18999.7,2.43839,1.13992,6.217,5.94958
18999.7,2.43847,1.13987,6.21687,5.94921
18999.7,2.43869,1.13996,6.21714,5.9495
18999.7,2.43845,1.13989,6.21695,5.94933
18999.7,2.4384,1.13992,6.2169,5.94933
18999.7,2.43816,1.1398,6.21613,5.9486
18999.7,2.43812,1.13982,6.21635,5.94882
18999.7,2.43829,1.13986,6.21642,5.94892
18999.7,2.43824,1.13995,6.21671,5.94894
18999.7,2.4382,1.13991,6.21652,5.94879
18999.7,2.43802,1.13983,6.21613,5.94851
18999.7,2.43806,1.13979,6.21628,5.94852
18999.7,2.43847,1.13984,6.21692,5.94895
18999.7,2.43835,1.1399,6.21712,5.94914
18999.7,2.43829,1.13986,6.21647,5.9486
18999.7,2.43812,1.1399,6.21655,5.9486
18999.7,2.43848,1.13983,6.21647,5.94851
18999.7,2.43851,1.13987,6.21658,5.9485
18999.7,2.43825,1.13992,6.21676,5.9487
18999.7,2.43831,1.13991,6.2167,5.94844
18999.7,2.43798,1.13985,6.2164,5.94824
18999.7,2.43842,1.13993,6.21694,5.94869
