Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.8,-0.00393024,-0.124704,1.52905,-1.26938
19499.8,2.38E-05,-0.120558,1.53309,-1.26529
19499.8,-0.00168228,-0.122309,1.53142,-1.26691
19499.8,0.00158558,-0.119152,1.53449,-1.26374
19499.8,-0.00173829,-0.122524,1.53118,-1.2671
19499.8,-0.00187779,-0.122967,1.53085,-1.26751
19499.8,-0.0038359,-0.124516,1.52908,-1.2692
19499.7,-0.00358848,-0.12453,1.52898,-1.26936
19499.8,0.00119577,-0.119724,1.53404,-1.26422
19499.8,0.00161025,-0.119153,1.53449,-1.26387
19499.8,-0.00279852,-0.123623,1.5301,-1.26822
19499.7,-0.0012615,-0.122392,1.53144,-1.26689
19499.8,-0.00124904,-0.12206,1.53165,-1.2667
19499.8,-0.00190747,-0.122629,1.53091,-1.26734
19499.9,-0.00347096,-0.124195,1.52956,-1.26874
19499.8,-0.00189607,-0.122626,1.53107,-1.26729
19499.8,-0.000699302,-0.121588,1.53214,-1.26618
19499.8,-0.0045636,-0.125515,1.52826,-1.27009
19499.8,0.00027139,-0.120505,1.53311,-1.26518
19499.8,-0.00225389,-0.122916,1.53066,-1.26762
19499.8,-0.00231226,-0.123424,1.53033,-1.26803
19499.8,-0.0038671,-0.124725,1.52895,-1.26936
19499.8,-0.00435997,-0.12506,1.52846,-1.26975
19499.7,-0.00242319,-0.123617,1.53009,-1.26821
19499.8,-0.0029124,-0.123736,1.53003,-1.26837
19499.7,-0.000261173,-0.121229,1.53243,-1.26588
19499.8,-0.00237689,-0.123283,1.53044,-1.26792
19499.7,-9.08E-05,-0.121117,1.53262,-1.26578
19499.8,-0.00418206,-0.125043,1.5287,-1.26965
19499.8,-0.00250788,-0.123358,1.53031,-1.26797
19499.8,-0.00201532,-0.122831,1.53082,-1.26751
19499.8,0.000309492,-0.12072,1.53317,-1.26519
19499.8,0.000858954,-0.119846,1.53383,-1.26456
19499.8,-0.00410039,-0.125035,1.52868,-1.26965
19499.8,-0.00191218,-0.122705,1.53103,-1.26735
19499.7,-0.00402066,-0.124984,1.52865,-1.26965
