Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44047,1.11675,6.2554,5.67476
19499.8,2.44057,1.11671,6.25536,5.67492
19499.8,2.44049,1.11669,6.25533,5.67464
19499.8,2.4404,1.11655,6.25507,5.67446
19499.8,2.44063,1.11674,6.25544,5.67474
19499.8,2.44064,1.11675,6.25547,5.67481
19499.8,2.44048,1.11665,6.25521,5.67452
19499.7,2.44056,1.11676,6.25581,5.675
19499.8,2.44026,1.1166,6.2549,5.67424
19499.7,2.44053,1.1166,6.2551,5.67444
19499.8,2.44061,1.11665,6.25546,5.67479
19499.7,2.44036,1.11662,6.25515,5.67447
19499.8,2.44042,1.11663,6.25512,5.67449
19499.8,2.44061,1.11659,6.25493,5.67427
19499.7,2.44039,1.11667,6.25493,5.67423
19499.8,2.44045,1.11664,6.2552,5.67442
19499.8,2.44054,1.11664,6.25522,5.67426
19499.8,2.44047,1.11656,6.25489,5.67389
19499.7,2.44041,1.11656,6.25457,5.6737
19499.8,2.44069,1.11669,6.2548,5.67383
19499.8,2.44061,1.11658,6.25497,5.67374
19499.8,2.44028,1.11655,6.25451,5.67348
19499.8,2.44065,1.11653,6.25455,5.67349
19499.8,2.44074,1.11657,6.25466,5.67346
19499.8,2.44081,1.11647,6.25463,5.67342
19499.8,2.44043,1.11652,6.25466,5.67327
19499.7,2.44032,1.11645,6.25449,5.67316
19499.8,2.44059,1.11654,6.25486,5.67344
19499.8,2.44047,1.1165,6.25465,5.67331
19499.8,2.44036,1.11654,6.25458,5.67313
19499.7,2.4405,1.11648,6.25437,5.67304
19499.8,2.44065,1.11654,6.25444,5.67324
19499.8,2.4401,1.11646,6.25414,5.67274
19499.9,2.44049,1.1164,6.25416,5.67261
19499.8,2.44057,1.11654,6.25489,5.67334
19499.8,2.44075,1.11659,6.2547,5.67334
19499.8,2.44077,1.11662,6.25537,5.67356
19499.8,2.4406,1.11646,6.25481,5.67323
19499.8,2.44056,1.11654,6.2547,5.67341
19499.8,2.44029,1.11648,6.25421,5.67287
19499.8,2.4403,1.11646,6.25445,5.67293
19499.8,2.44035,1.11644,6.25453,5.67297
19499.7,2.44059,1.1165,6.25443,5.67305
19499.8,2.44039,1.1164,6.2543,5.67298
19499.7,2.44026,1.11647,6.25436,5.67314
19499.8,2.4404,1.1165,6.25458,5.67322
19499.7,2.44058,1.11668,6.25512,5.67373
19499.8,2.44051,1.11661,6.25509,5.67365
19499.8,2.44038,1.11654,6.25501,5.67366
19499.8,2.44038,1.11645,6.25434,5.67327
19499.8,2.44069,1.11659,6.25489,5.67365
19499.8,2.44075,1.11661,6.25484,5.67346
19499.8,2.4406,1.11647,6.25457,5.67345
