Frequency,Gen,R,L,C
24049.666,2.473,0.738,5.114,3.062
24099.71,2.473,0.734,5.096,3.038
24099.774,2.474,0.734,5.096,3.039
24149.765,2.474,0.73,5.079,3.015
24199.8,2.474,0.725,5.062,2.993
24199.812,2.474,0.726,5.062,2.993
24249.745,2.474,0.722,5.046,2.97
24249.757,2.474,0.722,5.046,2.971
24299.891,2.474,0.718,5.029,2.948
24349.751,2.474,0.714,5.012,2.926
24349.758,2.475,0.714,5.013,2.927
24399.86,2.474,0.71,4.996,2.905
24399.886,2.475,0.71,4.997,2.905
24449.82,2.475,0.706,4.98,2.883
24499.57,2.475,0.703,4.964,2.862
24499.908,2.475,0.703,4.964,2.863
24549.786,2.475,0.699,4.948,2.841
24549.775,2.476,0.699,4.948,2.841
24599.689,2.476,0.695,4.932,2.82
24649.797,2.476,0.692,4.916,2.8
24649.76,2.476,0.692,4.917,2.8
24699.704,2.476,0.688,4.901,2.779
24749.836,2.476,0.685,4.886,2.759
24749.84,2.476,0.684,4.886,2.76
24799.722,2.476,0.681,4.87,2.739
24799.79,2.476,0.681,4.871,2.74
24849.696,2.477,0.677,4.855,2.72
24899.731,2.477,0.674,4.84,2.7
24899.737,2.477,0.674,4.84,2.701
24949.633,2.477,0.67,4.824,2.68
24949.683,2.477,0.67,4.824,2.68
24999.755,2.477,0.667,4.809,2.661
25049.778,2.477,0.664,4.796,2.643
25049.746,2.477,0.664,4.796,2.643
25099.857,2.478,0.66,4.781,2.623
25149.718,2.478,0.657,4.766,2.605
