Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C,,,,
14500,-3.95993,54.2201,148.197,-17.283,0.963342836,0.963342836,0.963342836,0.963342836
14600.1,-3.879,53.7717,147.706,-17.698,0.963342836,0.963342836,0.963342836,0.963342836
14650.2,-3.93431,53.4782,147.363,-18.011,0.963342836,0.963342836,0.963342836,0.963342836
14700.1,-3.98186,53.1103,147.032,-18.306,0.963342836,0.963342836,0.963342836,0.963342836
14750,-3.91036,52.9624,146.818,-18.486,0.963342836,0.963342836,0.963342836,0.963342836
14800.1,-3.50796,53.0802,146.922,-18.354,0.963342836,0.963342836,0.963342836,0.963342836
14850,-4.35842,51.944,145.77,-19.472,0.963342836,0.963342836,0.963342836,0.963342836
14900.1,-3.73688,52.291,146.079,-19.123,0.963342836,0.963342836,0.963342836,0.963342836
14950,-4.03555,51.6802,145.461,-19.716,0.963342836,0.963342836,0.963342836,0.963342836
15000.1,-3.66825,51.7814,145.518,-19.622,0.963342836,0.963342836,0.963342836,0.963342836
15050.1,-4.46357,50.6829,144.418,-20.698,0.963342836,0.963342836,0.963342836,0.963342836
15100.2,-3.89411,50.9111,144.631,-20.43,0.963342836,0.963342836,0.963342836,0.963342836
15150.1,-4.01139,50.4737,144.206,-20.835,0.963342836,0.963342836,0.963342836,0.963342836
15250.1,-3.71276,50.1757,143.819,-21.156,0.963342836,0.963342836,0.963342836,0.963342836
15300,-4.03508,49.5526,143.175,-21.773,0.963342836,0.963342836,0.963342836,0.963342836
15350.1,-3.61583,49.5596,143.207,-21.692,0.963342836,0.963342836,0.963342836,0.963342836
15400.1,-4.24753,48.6307,142.228,-22.643,0.963342836,0.963342836,0.963342836,0.963342836
15450.2,-3.88987,48.6849,142.252,-22.588,0.963342836,0.963342836,0.963342836,0.963342836
15500.1,-3.80773,48.3917,141.967,-22.85,0.963342836,0.963342836,0.963342836,0.963342836
15550,-3.98906,47.8322,141.408,-23.38,0.963342836,0.963342836,0.963342836,0.963342836
15600.1,-3.8529,47.6439,141.169,-23.569,0.963342836,0.963342836,0.963342836,0.963342836
15650,-3.78592,47.3506,140.834,-23.875,0.963342836,0.963342836,0.963342836,0.963342836
15700.1,-3.80381,46.9864,140.461,-24.213,0.963342836,0.963342836,0.963342836,0.963342836
15750.1,-3.74776,46.6276,140.099,-24.54,0.963342836,0.963342836,0.963342836,0.963342836
15800.2,-3.94514,46.0564,139.467,-25.11,0.963342836,0.963342836,0.963342836,0.963342836
