Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
20299.8,-0.00134716,-0.293017,1.36592,-1.42293
20399.9,-0.000972812,-0.311374,1.34791,-1.43927
20399.8,-0.00397381,-0.314718,1.34487,-1.44247
20399.9,-0.00578544,-0.316198,1.34312,-1.44419
20499.9,-8.13E-05,-0.328907,1.33114,-1.45462
20499.9,-0.00174679,-0.330472,1.32956,-1.4563
20499.8,-0.00566053,-0.334384,1.32564,-1.46018
20599.8,-0.00269194,-0.348685,1.31164,-1.47275
20599.8,-0.00122783,-0.347185,1.31311,-1.4712
20599.7,-0.00357908,-0.349649,1.3107,-1.47368
20699.8,-0.0048941,-0.36817,1.29293,-1.49007
20699.8,-0.00203884,-0.365411,1.29566,-1.48735
20699.8,-0.0018341,-0.364833,1.29616,-1.48686
20699.8,-0.000242491,-0.36345,1.29754,-1.48547
20799.8,-0.00533985,-0.384724,1.2767,-1.50574
20799.7,0.000296534,-0.379458,1.282,-1.50034
20799.7,-0.000353043,-0.379871,1.28119,-1.50102
20899.8,-0.00526016,-0.407234,1.25621,-1.52635
20899.8,-0.00520422,-0.407135,1.25613,-1.52628
20899.8,-0.00143863,-0.403474,1.25999,-1.52255
20999.8,-0.000866679,-0.419813,1.24398,-1.53704
20999.8,-0.0017479,-0.420479,1.24333,-1.53774
20999.8,-0.000760675,-0.419363,1.24443,-1.53663
21099.9,0.00055466,-0.434069,1.23037,-1.54929
21099.9,0.000784044,-0.433855,1.23067,-1.54908
21099.8,0.00013003,-0.434638,1.2298,-1.54978
