Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
10749.995,2.494,0.353,1.05,3.435,,1.07E+04,2.49E-03,3.53E-04,1.05E-03,3.44E-03
10799.907,2.493,0.356,1.064,3.448,,1.08E+04,2.49E-03,3.56E-04,1.06E-03,3.45E-03
10799.927,2.493,0.356,1.064,3.448,,1.08E+04,2.49E-03,3.56E-04,1.06E-03,3.45E-03
10849.81,2.493,0.359,1.079,3.46,,1.08E+04,2.49E-03,3.59E-04,1.08E-03,3.46E-03
10899.923,2.493,0.362,1.093,3.472,,1.09E+04,2.49E-03,3.62E-04,1.09E-03,3.47E-03
10899.906,2.493,0.362,1.093,3.473,,1.09E+04,2.49E-03,3.62E-04,1.09E-03,3.47E-03
10949.806,2.493,0.365,1.108,3.485,,1.09E+04,2.49E-03,3.65E-04,1.11E-03,3.49E-03
10949.812,2.493,0.365,1.108,3.485,,1.09E+04,2.49E-03,3.65E-04,1.11E-03,3.49E-03
10999.936,2.493,0.369,1.122,3.498,,1.10E+04,2.49E-03,3.69E-04,1.12E-03,3.50E-03
11049.882,2.493,0.372,1.137,3.511,,1.10E+04,2.49E-03,3.72E-04,1.14E-03,3.51E-03
11049.816,2.493,0.372,1.138,3.511,,1.10E+04,2.49E-03,3.72E-04,1.14E-03,3.51E-03
11099.995,2.493,0.375,1.153,3.524,,1.11E+04,2.49E-03,3.75E-04,1.15E-03,3.52E-03
11099.956,2.493,0.375,1.153,3.524,,1.11E+04,2.49E-03,3.75E-04,1.15E-03,3.52E-03
11149.853,2.493,0.378,1.168,3.537,,1.11E+04,2.49E-03,3.78E-04,1.17E-03,3.54E-03
11199.995,2.493,0.381,1.184,3.551,,1.12E+04,2.49E-03,3.81E-04,1.18E-03,3.55E-03
11199.99,2.492,0.381,1.184,3.551,,1.12E+04,2.49E-03,3.81E-04,1.18E-03,3.55E-03
11249.931,2.492,0.385,1.2,3.564,,1.12E+04,2.49E-03,3.85E-04,1.20E-03,3.56E-03
11249.825,2.492,0.385,1.2,3.564,,1.12E+04,2.49E-03,3.85E-04,1.20E-03,3.56E-03
11299.833,2.492,0.388,1.216,3.578,,1.13E+04,2.49E-03,3.88E-04,1.22E-03,3.58E-03
11349.903,2.492,0.391,1.232,3.592,,1.13E+04,2.49E-03,3.91E-04,1.23E-03,3.59E-03
11349.956,2.492,0.391,1.232,3.592,,1.13E+04,2.49E-03,3.91E-04,1.23E-03,3.59E-03
11399.842,2.492,0.394,1.248,3.606,,1.14E+04,2.49E-03,3.94E-04,1.25E-03,3.61E-03
11449.921,2.492,0.398,1.265,3.62,,1.14E+04,2.49E-03,3.98E-04,1.27E-03,3.62E-03
11449.959,2.492,0.398,1.265,3.62,,1.14E+04,2.49E-03,3.98E-04,1.27E-03,3.62E-03
11499.851,2.492,0.401,1.282,3.634,,1.15E+04,2.49E-03,4.01E-04,1.28E-03,3.63E-03
11499.832,2.492,0.401,1.282,3.634,,1.15E+04,2.49E-03,4.01E-04,1.28E-03,3.63E-03
11549.96,2.491,0.405,1.298,3.648,,1.15E+04,2.49E-03,4.05E-04,1.30E-03,3.65E-03
11599.889,2.491,0.408,1.315,3.663,,1.16E+04,2.49E-03,4.08E-04,1.32E-03,3.66E-03
11599.9,2.492,0.408,1.316,3.663,,1.16E+04,2.49E-03,4.08E-04,1.32E-03,3.66E-03
11649.805,2.492,0.412,1.333,3.678,,1.16E+04,2.49E-03,4.12E-04,1.33E-03,3.68E-03
11649.833,2.491,0.412,1.333,3.678,,1.16E+04,2.49E-03,4.12E-04,1.33E-03,3.68E-03
11699.908,2.491,0.415,1.351,3.693,,1.17E+04,2.49E-03,4.15E-04,1.35E-03,3.69E-03
11749.832,2.491,0.419,1.369,3.709,,1.17E+04,2.49E-03,4.19E-04,1.37E-03,3.71E-03
11749.807,2.491,0.419,1.369,3.708,,1.17E+04,2.49E-03,4.19E-04,1.37E-03,3.71E-03
11799.892,2.491,0.423,1.387,3.724,,1.18E+04,2.49E-03,4.23E-04,1.39E-03,3.72E-03
11799.925,2.491,0.423,1.387,3.724,,1.18E+04,2.49E-03,4.23E-04,1.39E-03,3.72E-03
11849.845,2.491,0.426,1.405,3.739,,1.18E+04,2.49E-03,4.26E-04,1.41E-03,3.74E-03
