Frequency,Gen(rad),R,L,C
24749.84,0.004,5.473,0.927,4.476
24799.722,0.004,5.469,0.924,4.473
24799.79,0.009,5.475,0.93,4.479
24849.696,0.011,5.473,0.929,4.478
24899.731,0.01,5.469,0.925,4.475
24899.737,0.011,5.47,0.926,4.476
24949.633,0.005,5.462,0.918,4.469
24949.683,0.01,5.467,0.923,4.474
24999.755,0.006,5.459,0.916,4.468
25049.778,0.01,5.461,0.919,4.471
25049.746,0.005,5.456,0.913,4.465
25099.857,0.004,5.451,0.91,4.462
25149.718,0.009,5.454,0.913,4.466
25149.737,0.006,5.451,0.91,4.463
